	0
1 Ceres	2089.56
10th century	11150.3
11th century	13304.5
12th century	28376.9
13th century	17087.4
14th century	10732.3
15th Marine Expeditionary Unit	40.1418
15th century	37054.2
16 Cygni	4583.47
16 Cygni Bb	97.4794
16th century	73629.9
1755 Lisbon earthquake	206.783
17th century	57972.3
1896 Summer Olympics	35.9192
18th century	121294
1928 Okeechobee Hurricane	253.297
1973 oil crisis	7272.15
1980 eruption of Mount St. Helens	557.374
1997 Pacific hurricane season	24.5033
19th century	312378
1st century	6509.6
1st century BC	3963.21
2-6-0	141.705
2-8-0	2202.26
2003 Atlantic hurricane season	14100.6
2004 Atlantic hurricane season	15052.1
2004 Indian Ocean earthquake	15774.8
2005 Atlantic hurricane season	45482.1
2005 Hertfordshire Oil Storage Terminal fire	0
2005 Kashmir earthquake	591.066
2005 Lake Tanganyika earthquake	0
2005 Sumatra earthquake	55.775
20th century	171977
21st century	102564
2nd century	8328.6
3 Juno	44.7948
3rd century	3172.88
4 Vesta	263.339
4-2-0	113.155
4-4-0	11427.5
4-6-0	238.639
47 Ursae Majoris	9234.62
47 Ursae Majoris b	37.8422
47 Ursae Majoris c	1.08521
4th century	5102.42
55 Cancri	20790.4
55 Cancri b	26.386
55 Cancri c	13.4552
55 Cancri d	118.071
55 Cancri e	21.6906
5th century	6139.29
6-2-0	72.3752
6th century	6116.24
7th century	17047.4
8th century	10336.7
90377 Sedna	986.38
9th century	13537.3
A Christmas Carol	824.46
A Tale of a Tub	101.943
A Wrinkle in Time	0
A cappella	1184.75
A. E. J. Collins	0
ABO blood group system	3096.01
AC DC	0
AIDS	18620.4
AK-47	461.58
ALCO FA	92.5239
ASCII	1457.51
AT&T	4706.3
ATLAS experiment	0
Aachen	4682.86
Aardvark	686.913
Aarhus	92.3408
Abacus	1587.58
Abacá	0
Abadan	19.5485
Abbadid	0
Abbas I of Persia	0
Abbasid	892.049
Abbey	728.789
Abbey Theatre	4905.57
Abbot	2502.82
Abel Tasman	96.761
Aberdeen	4437.26
Aberration of light	47.859
Aberystwyth	262.87
Abhidhamma Pitaka	251.641
Abidjan	2209.12
Abkhazia	827.212
Able Archer 83	13.5236
Abraham Goldfaden	0
Abraham Lincoln	16429.7
Absinthe	5463.21
Absolute zero	1679.68
Abstract art	411.298
Abu Dhabi	1184.44
Abuja	152.676
Acceleration	668.107
Accountancy	999.285
Accra	310.812
Acetic acid	11648.5
Acetone	1092.49
Achilles	2311.54
Achilles tendon	0
Acid rain	2952.25
Acorn Computers	362.987
Actinium	53.615
Action potential	1927.38
Actor	7123.81
Acts of Union 1707	242.155
Actuary	0
Adam Smith	5497.28
Addis Ababa	184.588
Adelaide	7571.45
Adenosine triphosphate	827.215
Adi Shankara	0
Adolf Hitler	28824
Adriaen van der Donck	0
Advertising	12521.9
Aesthetics	14949.2
Afghan Hound	75.8549
Afghanistan	44109.1
Africa	510047
African American literature	126.233
African Black Oystercatcher	0
African Brush-tailed Porcupine	0
African Buffalo	126.625
African Darter	19.9774
African Great Lakes	1431.73
African Grey Hornbill	0
African Grey Parrot	80.1657
African Jacana	0
African Penguin	183.02
African Union	8421.64
African Wild Dog	438.226
African clawed frog	78.589
African dwarf frog	8.71092
African slave trade	204.949
Afrikaans	4751.55
Agamemnon	435.862
Age of Enlightenment	20904.7
Aggregator	122.338
Agnosticism	341.79
Agriculture	103737
Airbus	2265.52
Airbus A380	4746.2
Aircraft	5608.91
Aircraft carrier	2245.03
Airship	5438.93
Ajax (programming)	8.60002
Akbar	2477.42
Akhenaten	628.637
Akira Kurosawa	9624.65
Akkadian Empire	117.92
Akrotiri and Dhekelia	204.228
Aksumite currency	4588.05
Al Jazeera	469.059
Alamosaurus	4.6894
Alan Turing	3351.37
Albania	11342.5
Albatross	16361.2
Albert Einstein	77255.2
Alberto Santos-Dumont	758.709
Albertosaurus	0
Albigensian Crusade	671.244
Albinism	4877.01
Albrecht Dürer	1795.51
Albrecht Rodenbach	0
Alchemy	44037.8
Alcibiades	2715.21
Alcohol	24665.4
Aleksandr Pushkin	615.26
Aleksandr Vasilevsky	49.8791
Aleksey Arakcheyev	0
Alexander Graham Bell	3557.8
Alexander Hamilton	1956.71
Alexander the Great	16717.3
Alfred Hitchcock	3097.05
Alfred Nobel	2533.04
Alfred the Great	6078.47
Algebra	11390.8
Algeria	16823.5
Algerian Civil War	8.11429
Algiers	2122.7
Algol	293.515
Algoma Central Railway	0
Algorithm	12944.9
Alice's Adventures in Wonderland	5691.43
All Blacks	3957.99
All You Need Is Love (The JAMs song)	395.823
All your base are belong to us	0
Allah	411.268
Allegory in the Middle Ages	141.199
Alligator	358.973
Alliterative verse	75.3587
Allosaurus	5153.65
Almaty	57.8833
Almond	4009.64
Alpaca	521.819
Alphabet	1154.74
Alternating current	2175.07
Alternation of generations	20.3329
Alternative rock	2006.61
Aluminium	50410.9
Aluminium chloride	441.904
Alzheimer's disease	2582.8
Amaranth oil	1.31651
Amarillo, Texas	10739.3
Amazon Basin	252.399
Amazon Rainforest	2549.46
Amazon River	2096.6
Amazon parrot	2.60165
Amber	10145.7
Amda Seyon I	0
American Civil War	27078.8
American English	11474.9
American Revolutionary War	9325.81
American Samoa	1697.19
American football	4762.77
American popular music	31403.3
Americium	259.882
Amish	2175.21
Ammolite	414.265
Ammonia	25279.9
Ammonite	5845.55
Ammosaurus	9175.01
Amsterdam	8535.53
Amtrak	67106.3
Amur	400.854
Anaconda	3405.13
Analytical Marxism	46.3566
Anarchism	10650.9
Anarcho-capitalism	398.23
Anatomy	910.345
Ancient Egypt	56068.2
Ancient Greece	103521
Ancient Rome	112240
Ancient history	10156.5
Andes	9619.69
Andorra	3377.42
Andrew Carnegie	3372.76
Andrew Dickson White	64.0394
Andrew Gonzalez	0
Andrew Jackson	2244.74
Andrew Johnson	197.659
Andrew Robinson	60.5385
Andriyivskyy Descent	21.0884
Andromeda Galaxy	603.07
Andrés Nocioni	6.95403
Andy Warhol	989.85
Anemia	11254.9
Angel shark	5.13247
Angelica	37.7105
Angkor	4713.53
Angkor Wat	659.968
Anglican Church of Australia	104.801
Anglican Communion	16620.5
Anglicanism	24152
Anglo-Saxon literature	2219.22
Angola	1928.43
Anguilla	482.918
Animal	129201
Animal law	0
Animal rights	15254.6
Animation	5775.78
Ankylosaurus	876.89
Ann Arbor, Michigan	580.523
Anna Karenina	480.772
Anne Frank	1207.07
Anne of Great Britain	12309.7
Annibale Bugnini	0
Anno Domini	10179.2
Anschluss	4589.06
Ant	7120.58
Antananarivo	323.634
Antarctic Treaty System	315.133
Antarctic krill	1067.09
Antarctica	86236.4
Antarctosaurus	2.65417
Anteater	3109.66
Antelope	32981.1
Anthony van Dyck	772.629
Anthropology	15056.4
Antigua and Barbuda	3886.83
Antimony	1084.52
Antlion	0
Antoine Lavoisier	3287.38
Anton Alexander von Werner	0
Antonio Vivaldi	1191.36
Antonín Dvořák	1411.84
Antwerp	13468.8
Apaochi	0
Apatosaurus	262.003
Ape	1053.7
Aphid	972.298
Apollo	9322.46
Apollo 11	11671.8
Apollo 8	4624.56
Apostolic Succession	431.468
Apple	25570.1
Applied mathematics	1429.71
Apricot	1953.24
Aquarium	17424.3
Arab League	868.315
Arab-Israeli conflict	458.144
Arabic language	37936.3
Arable land	5351.59
Aradia, or the Gospel of the Witches	0
Aral Sea	1634.63
Arcadia (play)	327.433
Archaeoastronomy	5989.92
Archaeology	18693
Archaeopteryx	5849.75
Archbishop of Canterbury	6534.75
Archimedes	2311.43
Architecture	20103.3
Architecture of Windows NT	0
Architecture of the California missions	0
Arctic	28220.2
Arctic Circle	1208.02
Arctic Monkeys	10282.4
Arctic Ocean	8856.27
Arctic Tern	6371.42
Arecaceae	3148.68
Argan	13.625
Argentina	160259
Argon	3737.8
Argyle diamond mine	4670.69
Ariel Sharon	1331.4
Aristarchus (crater)	18.1814
Aristotle	28962.1
Arithmetic	8784.05
Armadillo	1758.18
Armand Jean du Plessis, Cardinal Richelieu	575.241
Armenia	34895.3
Armia Krajowa	1884.36
Arnold Schwarzenegger	2620.24
Arp2 3 complex	0
Ars moriendi	23.8674
Arsenal F.C.	4177
Arsenic	9494.9
Art	51441.1
Arthropod	4310.48
Arthur Ernest Percival	30.7681
Arthur Sullivan	10091.2
Arthur Upfield	0
Arthur Wellesley, 1st Duke of Wellington	3754.95
Arts and crafts	382.725
Aruba	2640.86
Arugula	85.0396
Ascariasis	389.628
Asia	183924
Asp (reptile)	17.736
Asparagus	545.637
Asperger syndrome	1477.51
Assyria	1343.85
Astatine	206.617
Asteroid	13723.4
Asthma	1893
Astrology	10793.5
Astronomy	86474.7
Astrophysics Data System	0
Asunción	41.1624
Ateneo de Manila University	136.234
Athanasius Kircher	1380.35
Atheism	19156.6
Athena	7056.16
Athens	38374.9
Athletics (track and field)	361.153
Atlanta, Georgia	13877.5
