	0.000
1 Ceres	2089.564
10th century	11150.328
11th century	13304.547
12th century	28376.890
13th century	17087.440
14th century	10732.304
15th Marine Expeditionary Unit	40.142
15th century	37054.202
16 Cygni	4583.466
16 Cygni Bb	97.479
16th century	73629.920
1755 Lisbon earthquake	206.783
17th century	57972.338
1896 Summer Olympics	35.919
18th century	121293.902
1928 Okeechobee Hurricane	253.297
1973 oil crisis	7272.149
1980 eruption of Mount St. Helens	557.374
1997 Pacific hurricane season	24.503
19th century	312377.658
1st century	6509.598
1st century BC	3963.213
2-6-0	141.705
2-8-0	2202.259
2003 Atlantic hurricane season	14100.612
2004 Atlantic hurricane season	15052.071
2004 Indian Ocean earthquake	15774.790
2005 Atlantic hurricane season	45482.085
2005 Hertfordshire Oil Storage Terminal fire	0.000
2005 Kashmir earthquake	591.066
2005 Lake Tanganyika earthquake	0.000
2005 Sumatra earthquake	55.775
20th century	171977.239
21st century	102563.628
2nd century	8328.601
3 Juno	44.795
3rd century	3172.879
4 Vesta	263.339
4-2-0	113.155
4-4-0	11427.502
4-6-0	238.639
47 Ursae Majoris	9234.625
47 Ursae Majoris b	37.842
47 Ursae Majoris c	1.085
4th century	5102.424
55 Cancri	20790.445
55 Cancri b	26.386
55 Cancri c	13.455
55 Cancri d	118.071
55 Cancri e	21.691
5th century	6139.293
6-2-0	72.375
6th century	6116.235
7th century	17047.404
8th century	10336.663
90377 Sedna	986.380
9th century	13537.255
A Christmas Carol	824.460
A Tale of a Tub	101.943
A Wrinkle in Time	0.000
A cappella	1184.752
A. E. J. Collins	0.000
ABO blood group system	3096.009
AC DC	0.000
AIDS	18620.411
AK-47	461.580
ALCO FA	92.524
ASCII	1457.510
AT&T	4706.300
ATLAS experiment	0.000
Aachen	4682.858
Aardvark	686.913
Aarhus	92.341
Abacus	1587.578
Abacá	0.000
Abadan	19.549
Abbadid	0.000
Abbas I of Persia	0.000
Abbasid	892.049
Abbey	728.789
Abbey Theatre	4905.569
Abbot	2502.821
Abel Tasman	96.761
Aberdeen	4437.258
Aberration of light	47.859
Aberystwyth	262.870
Abhidhamma Pitaka	251.641
Abidjan	2209.116
Abkhazia	827.212
Able Archer 83	13.524
Abraham Goldfaden	0.000
Abraham Lincoln	16429.722
Absinthe	5463.208
Absolute zero	1679.682
Abstract art	411.298
Abu Dhabi	1184.445
Abuja	152.676
Acceleration	668.107
Accountancy	999.285
Accra	310.812
Acetic acid	11648.491
Acetone	1092.493
Achilles	2311.544
Achilles tendon	0.000
Acid rain	2952.251
Acorn Computers	362.987
Actinium	53.615
Action potential	1927.384
Actor	7123.806
Acts of Union 1707	242.155
Actuary	0.000
Adam Smith	5497.282
Addis Ababa	184.588
Adelaide	7571.452
Adenosine triphosphate	827.215
Adi Shankara	0.000
Adolf Hitler	28824.034
Adriaen van der Donck	0.000
Advertising	12521.889
Aesthetics	14949.239
Afghan Hound	75.855
Afghanistan	44109.091
Africa	510047.102
African American literature	126.233
African Black Oystercatcher	0.000
African Brush-tailed Porcupine	0.000
African Buffalo	126.625
African Darter	19.977
African Great Lakes	1431.734
African Grey Hornbill	0.000
African Grey Parrot	80.166
African Jacana	0.000
African Penguin	183.020
African Union	8421.637
African Wild Dog	438.226
African clawed frog	78.589
African dwarf frog	8.711
African slave trade	204.949
Afrikaans	4751.552
Agamemnon	435.862
Age of Enlightenment	20904.680
Aggregator	122.338
Agnosticism	341.790
Agriculture	103737.439
Airbus	2265.517
Airbus A380	4746.204
Aircraft	5608.914
Aircraft carrier	2245.025
Airship	5438.926
Ajax (programming)	8.600
Akbar	2477.422
Akhenaten	628.637
Akira Kurosawa	9624.651
Akkadian Empire	117.920
Akrotiri and Dhekelia	204.228
Aksumite currency	4588.045
Al Jazeera	469.059
Alamosaurus	4.689
Alan Turing	3351.373
Albania	11342.492
Albatross	16361.243
Albert Einstein	77255.242
Alberto Santos-Dumont	758.709
Albertosaurus	0.000
Albigensian Crusade	671.244
Albinism	4877.015
Albrecht Dürer	1795.511
Albrecht Rodenbach	0.000
Alchemy	44037.762
Alcibiades	2715.206
Alcohol	24665.423
Aleksandr Pushkin	615.260
Aleksandr Vasilevsky	49.879
Aleksey Arakcheyev	0.000
Alexander Graham Bell	3557.801
Alexander Hamilton	1956.709
Alexander the Great	16717.271
Alfred Hitchcock	3097.046
Alfred Nobel	2533.044
Alfred the Great	6078.469
Algebra	11390.834
Algeria	16823.482
Algerian Civil War	8.114
Algiers	2122.698
Algol	293.515
Algoma Central Railway	0.000
Algorithm	12944.935
Alice's Adventures in Wonderland	5691.430
All Blacks	3957.987
All You Need Is Love (The JAMs song)	395.823
All your base are belong to us	0.000
Allah	411.268
Allegory in the Middle Ages	141.199
Alligator	358.973
Alliterative verse	75.359
Allosaurus	5153.654
Almaty	57.883
Almond	4009.643
Alpaca	521.819
Alphabet	1154.735
Alternating current	2175.072
Alternation of generations	20.333
Alternative rock	2006.615
Aluminium	50410.871
Aluminium chloride	441.904
Alzheimer's disease	2582.802
Amaranth oil	1.317
Amarillo, Texas	10739.338
Amazon Basin	252.399
Amazon Rainforest	2549.456
Amazon River	2096.599
Amazon parrot	2.602
Amber	10145.732
Amda Seyon I	0.000
American Civil War	27078.801
American English	11474.938
American Revolutionary War	9325.815
American Samoa	1697.190
American football	4762.772
American popular music	31403.304
Americium	259.882
Amish	2175.211
Ammolite	414.265
Ammonia	25279.906
Ammonite	5845.554
Ammosaurus	9175.012
Amsterdam	8535.529
Amtrak	67106.282
Amur	400.854
Anaconda	3405.129
Analytical Marxism	46.357
Anarchism	10650.932
Anarcho-capitalism	398.230
Anatomy	910.345
Ancient Egypt	56068.172
Ancient Greece	103520.849
Ancient Rome	112240.315
Ancient history	10156.505
Andes	9619.686
Andorra	3377.424
Andrew Carnegie	3372.765
Andrew Dickson White	64.039
Andrew Gonzalez	0.000
Andrew Jackson	2244.738
Andrew Johnson	197.659
Andrew Robinson	60.539
Andriyivskyy Descent	21.088
Andromeda Galaxy	603.070
Andrés Nocioni	6.954
Andy Warhol	989.850
Anemia	11254.921
Angel shark	5.132
Angelica	37.710
Angkor	4713.531
Angkor Wat	659.968
Anglican Church of Australia	104.801
Anglican Communion	16620.495
Anglicanism	24151.981
Anglo-Saxon literature	2219.216
Angola	1928.427
Anguilla	482.918
Animal	129201.305
Animal law	0.000
Animal rights	15254.597
Animation	5775.779
Ankylosaurus	876.890
Ann Arbor, Michigan	580.523
Anna Karenina	480.772
Anne Frank	1207.069
Anne of Great Britain	12309.712
Annibale Bugnini	0.000
Anno Domini	10179.205
Anschluss	4589.061
Ant	7120.577
Antananarivo	323.634
Antarctic Treaty System	315.133
Antarctic krill	1067.088
Antarctica	86236.391
Antarctosaurus	2.654
Anteater	3109.656
Antelope	32981.074
Anthony van Dyck	772.629
Anthropology	15056.421
Antigua and Barbuda	3886.832
Antimony	1084.517
Antlion	0.000
Antoine Lavoisier	3287.385
Anton Alexander von Werner	0.000
Antonio Vivaldi	1191.364
Antonín Dvořák	1411.838
Antwerp	13468.754
Apaochi	0.000
Apatosaurus	262.003
Ape	1053.704
Aphid	972.298
Apollo	9322.465
Apollo 11	11671.779
Apollo 8	4624.561
Apostolic Succession	431.468
Apple	25570.100
Applied mathematics	1429.706
Apricot	1953.242
Aquarium	17424.342
Arab League	868.315
Arab-Israeli conflict	458.144
Arabic language	37936.286
Arable land	5351.591
Aradia, or the Gospel of the Witches	0.000
Aral Sea	1634.630
Arcadia (play)	327.433
Archaeoastronomy	5989.923
Archaeology	18693.036
Archaeopteryx	5849.747
Archbishop of Canterbury	6534.750
Archimedes	2311.429
Architecture	20103.335
Architecture of Windows NT	0.000
Architecture of the California missions	0.000
Arctic	28220.151
Arctic Circle	1208.020
Arctic Monkeys	10282.374
Arctic Ocean	8856.270
Arctic Tern	6371.424
Arecaceae	3148.680
Argan	13.625
Argentina	160259.125
Argon	3737.799
Argyle diamond mine	4670.686
Ariel Sharon	1331.405
Aristarchus (crater)	18.181
Aristotle	28962.119
Arithmetic	8784.050
Armadillo	1758.176
Armand Jean du Plessis, Cardinal Richelieu	575.241
Armenia	34895.339
Armia Krajowa	1884.356
Arnold Schwarzenegger	2620.237
Arp2 3 complex	0.000
Ars moriendi	23.867
Arsenal F.C.	4176.999
Arsenic	9494.897
Art	51441.136
Arthropod	4310.479
Arthur Ernest Percival	30.768
Arthur Sullivan	10091.177
Arthur Upfield	0.000
Arthur Wellesley, 1st Duke of Wellington	3754.949
Arts and crafts	382.725
Aruba	2640.858
Arugula	85.040
Ascariasis	389.628
Asia	183924.153
Asp (reptile)	17.736
Asparagus	545.637
Asperger syndrome	1477.506
Assyria	1343.852
Astatine	206.617
Asteroid	13723.437
Asthma	1892.996
Astrology	10793.487
Astronomy	86474.734
Astrophysics Data System	0.000
Asunción	41.162
Ateneo de Manila University	136.234
Athanasius Kircher	1380.351
Atheism	19156.600
Athena	7056.164
Athens	38374.867
Athletics (track and field)	361.153
Atlanta, Georgia	13877.511
Atlantic Coast Line Railroad	188.118
Atlantic Ocean	178839.994
Atlantic herring	0.000
Atlantic slave trade	8631.287
Atlantis	3422.692
Atom	23699.845
Atonality	106.849
Attack on Pearl Harbor	7178.182
Attalus I	129.676
Attention-deficit hyperactivity disorder	454.787
Attila the Hun	2123.144
Auckland	1551.166
Augusta, Lady Gregory	295.215
Augustan literature	7682.275
Auguste Rodin	2658.141
Augustine of Hippo	4478.022
Augustus	1652.372
Australia	263974.560
Australian English	1514.704
Australian Green Tree Frog	27959.494
Australian Open	802.220
Australian Ringneck	0.000
Australian constitutional law	0.000
Australian rules football	2549.122
Austria	43673.017
Autism	1975.982
Auto racing	3054.395
Autobianchi Primula	0.000
Autocracy	248.041
Automated teller machine	4927.062
Automatic number plate recognition	0.000
Automobile	25275.644
Autorack	45.823
Autostereogram	0.000
Autumn	3209.466
Avacha Volcano	9.794
Avalanche	383.881
Avatar:  The Last Airbender	6.928
Avocado	2931.860
Avon Gorge	713.009
Avro Lancaster	173.959
Axe	1534.378
Ayaan Hirsi Ali	994.058
Aye-aye	0.000
Aymer de Valence, 2nd Earl of Pembroke	25.603
Azerbaijan	19773.149
Azerbaijani people	1146.613
Aztec	5834.700
B vitamins	1293.685
BAE Systems	2134.424
BASIC	174.839
BBC	50892.965
BBC television drama	9796.496
BP	862.290
BT Tower	255.970
Babe Ruth	275.943
Baboon	63.257
Babur	383.567
Baby Gender Mentor	0.000
Babylonia	6662.559
Backgammon	799.421
Bacteria	43479.239
Baden-Powell House	0.000
Badger	3221.229
Badminton	1985.531
Baghdad	6656.130
Bahamas	0.000
Bahrain	4320.822
Bahá'í Faith	6676.059
Baker Island	858.069
Bald Eagle	15358.653
Baltic Sea	12311.225
Baltimore, Maryland	11063.855
Bamako	331.090
Banana	13147.534
Bandicoot	38.950
Bangalore	6012.495
Bangkok	1465.316
Bangladesh	30107.689
Banjul	528.857
Bank of China (Hong Kong)	0.000
Banknote	1218.385
Banksy	207.189
Bantu	1303.760
Barack Obama	241.693
Barbados	12880.582
Barbara McClintock	676.453
Barbary Lion	88.906
Barbary Macaque	63.608
Barcelona	9653.113
Barium	2212.736
Barley	3003.152
Barn Owl	137.940
Barnacle	538.620
Baroque	19914.585
Barracuda	13.845
Baruch Spinoza	2217.810
Baseball	20635.838
Basel	2100.220
Basil	885.670
Basil Brush	18.590
Basilica of San Francesco d'Assisi	21.525
Basilica of Santa Maria degli Angeli	10.918
Basketball	23821.660
Basking shark	324.140
Bass (fish)	22.724
Basset Hound	0.000
Bassoon	311.898
Bat	20701.625
Bat-eared Fox	62.370
Bath School disaster	41.722
Bath, Somerset	1183.808
Batholith	174.004
Batman	5027.056
Battle of Alesia	40.000
Battle of Amiens	126.112
Battle of Austerlitz	1867.369
Battle of Badr	6.500
Battle of Bicocca	3.237
Battle of Britain	1104.860
Battle of Cannae	90.811
Battle of France	315.721
Battle of Gettysburg	812.800
Battle of Grunwald	197.330
Battle of Hastings	523.739
Battle of Jutland	260.563
Battle of Lechaeum	9.958
Battle of Leyte Gulf	62.008
Battle of Marathon	7446.069
Battle of Midway	5851.713
Battle of Moscow	4687.934
Battle of Normandy	4784.125
Battle of Rennell Island	14.315
Battle of Sitka	32.689
Battle of Smolensk (1943)	25.112
Battle of Stalingrad	8113.808
Battle of Tours	565.136
Battle of Vaslui	0.692
Battle of Warsaw (1920)	174.250
Battle of the Bulge	2283.059
Battle of the Eastern Solomons	111.838
Battle of the Little Bighorn	299.835
Battle of the Santa Cruz Islands	20.346
Battle of the Somme (1916)	483.860
Battles of the Mexican-American War	0.000
Bay Area Rapid Transit	170.448
Bay of Bengal	373.367
Beach	7862.623
Bean	607.755
Bear	5500.016
Beatles for Sale	130.699
Beaver	4241.685
Bedbug	67.631
Bede	2871.536
Bee	7775.366
Beeching Axe	577.872
Beekeeping	1417.619
Beep (SWBLW)	0.000
Beer	22871.448
Beet	527.049
Beetle	7432.161
Behavioral finance	8.280
Behistun Inscription	235.799
Beijing	37797.105
Beirut	1864.350
Belarus	12755.815
Belfast	2462.947
Belgium	70904.439
Belize	6095.940
Belton House	0.000
Ben Jonson	14594.995
Ben Nevis	3071.165
Ben-Hur (1959 film)	0.000
Bench language	0.000
Benin	2911.303
Benito Mussolini	2775.718
Benjamin Britten	6731.274
Benjamin Disraeli, 1st Earl of Beaconsfield	1110.375
Benjamin Franklin	13851.961
Benjamin Harrison	1344.470
Benjamin Mountfort	52.793
Benjamin of Tudela	0.000
Benzene	5568.939
Berber languages	1138.786
Beriberi	1398.485
Berkelium	20.422
Berlin	38554.195
Berlin Wall	2097.909
Bermuda	10347.559
Bernard Hinault	8.448
Bertrand Russell	13863.813
Beryllium	2743.598
Betelgeuse incident	0.000
Bette Davis	1421.422
Bhutan	10296.741
Bible	19117.889
Bicycle	8269.990
Bicycle Thieves	32.653
Big Bang	22094.134
Bill Clinton	26122.036
Bill Gates	5573.651
Billie Holiday	205.508
Binary star	3036.013
Binoculars	2885.913
Binomial nomenclature	24315.093
Biodiesel	41606.114
Biodiversity	23837.325
Biofuel	2925.371
Bioinformatics	3179.589
Biology	44323.356
Bionicle:  Mask of Light	0.000
Biosphere	4137.315
Biotechnology	7095.795
Bird	177979.419
Bird migration	56035.778
Bird of prey	3710.688
Birmingham	40521.879
Birth control	7673.908
Bismuth	4682.719
Bison	1998.049
Bissau	214.483
Björn Borg	3085.645
Bjørnøya	488.741
Black Death	23506.046
Black Rhinoceros	76.080
Black Robin	0.000
Black Sea	7242.471
Black Seminoles	0.000
Black Wildebeest	27.812
Black hole	2926.132
Black panther	163.826
Black pepper	8646.328
Black widow spider	0.000
Black-backed Jackal	17.286
Black-footed Cat	0.000
Black-winged Stilt	259.258
Blackbird	653.161
Blackcap	7.966
Blackjack	63.640
Blackpool	207.531
